label,geometry,DEM,LULC,NDVI,RAIN,SLOPE,SOIL,SPI,TOTAL_CURVATURE,TWI
0,POINT (531359.2413945507 706920.5014061994),0.0,0.0,,,2.7134076e-06,0.0,3.4914405e-10,1.2028515e-17,15.6806755
0,POINT (537357.1101533805 707487.4641246957),0.0,1.0,,,1.6224509e-07,0.0,2.433368e-13,4.6043716e-21,14.366298
0,POINT (549382.687814119 711844.125014194),4.0,7.0,0.010945347,440.292330995459,2.8893218,2.0,1.6874028e-06,4.2606584e-06,-3.4621384
0,POINT (561438.1056179362 721363.1306563171),0.0,0.0,,,2.3311992e-07,0.0,1.0184075e-13,2.5563696e-19,12.977814
0,POINT (571315.1929770043 721243.7700840022),0.0,0.0,,,6.139534e-07,0.0,3.3118473e-12,2.2550186e-18,10.820046
0,POINT (559588.0167470535 709456.9135678937),0.0,0.0,,,1.911995e-07,0.0,1.5885125e-12,9.506143e-38,15.916347
0,POINT (562333.3099102989 714559.5780343609),6.0,7.0,0.04594968,444.2405641327265,0.98119044,2.0,2.1171586e-07,1.5152407e-06,-3.3464634
0,POINT (562870.4324857165 716051.5851882986),2.0,7.0,-0.01530668,444.2405641327265,0.9929268,8.0,1.029099e-07,2.3125929e-06,-3.9362514
0,POINT (528345.3869435964 720855.8482239783),0.0,0.0,,,1.7347952e-07,0.0,2.9787246e-13,2.6962233e-21,14.440425
0,POINT (553202.2261281997 707666.5049831683),0.0,0.0,,,2.9884561e-06,0.0,2.9765561e-09,1.4673595e-16,15.472167
0,POINT (574329.0474279587 717931.5142022602),0.0,0.0,,,9.181682e-05,0.0,7.537495e-12,1.1695849e-14,5.1482825
0,POINT (545145.3874969358 707189.0626939082),0.0,0.0,,,1.7994643e-07,0.0,2.7533165e-13,5.5924324e-21,13.887908
0,POINT (520736.1504585137 717185.5106252914),7.0,7.0,0.018407656,476.23197766739804,1.79791,2.0,2.100614e-06,2.2004288e-06,-2.0357778
0,POINT (540908.0871797524 721303.4503701596),0.0,0.0,,,1.9244627e-07,0.0,9.841325e-12,7.2731406e-33,17.727139
0,POINT (527927.6249404937 718110.5550607328),0.0,0.0,,,1.911995e-07,0.0,1.5578298e-12,3.1674412e-38,15.896841
0,POINT (530553.5575314242 716290.3063329287),0.0,0.0,,,2.6043272e-06,0.0,4.819156e-13,1.0179811e-17,10.209962
0,POINT (545980.9115031409 716708.0683360313),0.0,0.0,,,3.255186e-06,0.0,6.611651e-10,2.46266e-17,15.324722
0,POINT (562154.2690518264 707368.1035523807),0.0,0.0,,,1.911995e-07,0.0,3.6214816e-13,1.9211506e-38,14.437794
0,POINT (565287.4840750957 710590.8390048863),5.0,7.0,0.008899324,444.2405641327265,0.57612246,5.0,9.2910005e-07,1.0023589e-06,-1.4544113
0,POINT (539654.8011704447 718737.1980653866),5.0,7.0,-0.02242296,303.01294735578887,1.1075771,6.0,3.2792864e-06,1.7720604e-06,-0.43590814
0,POINT (558125.8497361944 712112.6863019029),3.0,7.0,-0.010450746,444.2405641327265,2.0949938,4.0,1.0140496e-06,2.933467e-06,-3.3762708
0,POINT (533448.0514100635 711277.1622956977),6.0,2.0,0.18417664,471.2255188552688,0.84052885,0.0,6.900131e-08,6.8308477e-06,-3.9348319
0,POINT (549502.0483864341 715991.9049021411),0.0,0.0,,,2.576955e-07,0.0,1.3253423e-12,1.9851548e-20,13.361742
0,POINT (573702.4044233048 708561.709275531),0.0,0.0,,,1.911995e-07,0.0,8.656055e-13,2.666141e-39,15.30921
0,POINT (534850.5381347651 718140.3952038116),0.0,0.0,,,2.1398162e-07,0.0,4.9986306e-13,1.2689615e-20,14.533382
0,POINT (538729.7567350033 718438.7966345991),3.0,7.0,-0.026605524,305.23207043405455,0.90758896,5.0,2.3100117e-07,1.0510106e-06,-2.8097227
1,POINT (532433.4865453859 708770.5902770823),0.0,1.0,-0.03091985,530.6180250214139,1.3761501,0.0,3.8075884e-06,4.1547564e-06,-1.1125853
0,POINT (567495.6546629237 719065.439639253),6.0,2.0,0.09785172,389.9206706472762,3.5394547,4.0,3.818362e-07,2.9791731e-06,-5.252716
0,POINT (532224.6055438346 717334.7113406851),0.0,0.0,,,1.911995e-07,0.0,2.2438877e-13,6.7943055e-38,13.955768
0,POINT (524048.4063402556 713365.9723112106),7.0,7.0,0.07055064,530.6180250214139,2.8938422,4.0,5.226631e-07,9.25553e-06,-4.685254
0,POINT (535327.9804240252 712053.0060157453),4.0,7.0,-0.0111157065,433.4480705116316,1.2076138,5.0,1.4751119e-07,1.5505008e-06,-3.8983889
0,POINT (530434.1969591093 713007.8905942655),6.0,7.0,0.0055292784,530.6180250214139,1.9523171,2.0,3.0893696e-07,4.3475757e-06,-4.4266076
0,POINT (539117.6785950271 706562.4196892544),0.0,0.0,,,2.3142627e-07,0.0,7.0089876e-14,1.1558821e-20,12.454526
1,POINT (554932.9544267675 712261.8870172966),0.0,7.0,0.011064556,440.66291251538877,2.0349745e-07,6.0,4.9880087e-13,1.2269362e-20,14.595675
0,POINT (530672.9181037393 706890.6612631206),0.0,0.0,,,1.911995e-07,0.0,6.2488686e-13,2.0505084e-38,14.982542
0,POINT (555350.7164298701 708591.5494186097),0.0,0.0,,,1.8023e-06,0.0,4.003239e-09,4.489349e-18,9.5597105
0,POINT (535984.4635717578 707069.7021215932),0.0,0.0,,,1.911995e-07,0.0,4.4045166e-13,1.51891e-38,14.633437
0,POINT (521124.0723185375 712053.0060157453),7.0,4.0,0.15562734,476.23197766739804,2.8849382,6.0,3.2645798e-07,6.237906e-06,-5.0086613
0,POINT (560483.2210394162 709218.1924232636),0.0,0.0,,,1.911995e-07,0.0,1.5254918e-12,2.525083e-38,15.875866
0,POINT (544160.6627753368 717692.7930576302),0.0,0.0,,,1.663364e-05,0.0,1.848637e-12,1.2540161e-16,7.045465
0,POINT (546338.993220086 718289.5959192053),0.0,0.0,,,1.9243579e-07,0.0,1.2873204e-12,7.2112325e-33,15.68287
0,POINT (569584.4646784365 721542.1715147897),0.0,0.0,,,1.9318654e-07,0.0,4.2462393e-13,4.086957e-22,14.502858
0,POINT (554007.9099913262 716439.5070483225),0.0,0.0,,,1.911995e-07,0.0,1.1356906e-12,1.0590628e-37,15.580776
1,POINT (524794.4099172244 712202.2067311391),1.0,7.0,0.021327538,530.6180250214139,1.820736e-07,6.0,3.5941194e-13,8.4703376e-21,13.590416
0,POINT (536342.5452887028 718468.6367776778),4.0,7.0,-0.023951957,,1.0889955,2.0,4.382601e-06,7.327661e-07,-2.7799535
0,POINT (536760.3072918054 713634.5335989194),2.0,7.0,-0.009279674,433.4480705116316,0.64891076,7.0,5.3270867e-08,2.8224855e-07,-3.0676048
0,POINT (562959.9529149528 721751.052516341),0.0,0.0,,,6.5696173e-07,0.0,8.310729e-14,1.9519601e-18,10.476659
0,POINT (539117.6785950271 720348.5657916395),7.0,7.0,-0.01315304,,3.1630077,5.0,2.8244028e-07,1.8473467e-05,-5.219798
0,POINT (548845.5652387014 713753.8941712345),8.0,7.0,0.021895535,440.292330995459,2.8957102,4.0,8.26404e-07,6.0130733e-06,-4.5465927
0,POINT (524316.9676279643 717692.7930576302),6.0,7.0,0.047202546,530.6180250214139,1.1005547,2.0,9.034756e-08,3.1302677e-06,-4.2290936
0,POINT (562422.8303395353 713813.574457392),3.0,7.0,0.021206634,444.2405641327265,2.37563,3.0,1.2610781e-06,3.873415e-06,-3.3065455
0,POINT (544369.543776888 714111.9758881795),0.0,0.0,,438.3410106310462,1.9186157e-07,0.0,5.4421402e-12,1.9963439e-20,16.07453
0,POINT (536432.0657179392 721005.0489393721),0.0,0.0,,,1.9244523e-07,0.0,9.17569e-13,7.267004e-33,15.35453
0,POINT (546726.9150801098 706711.6204046481),0.0,0.0,,,4.4584056e-07,0.0,6.5391737e-12,3.0875225e-19,15.748815
0,POINT (534015.01412856 718617.8374930716),0.0,0.0,,,7.871772e-07,0.0,4.5019513e-12,8.975743e-19,13.978138
0,POINT (567764.2159506325 710769.8798633589),11.0,6.0,0.13404174,566.2173215223089,3.7532299,6.0,3.3617087e-07,1.166827e-05,-5.290642
0,POINT (569315.9033907277 718737.1980653866),1.0,4.0,0.027128423,,1.0774869,0.0,2.9616803e-07,1.9122094e-06,-3.048396
0,POINT (555141.8354283188 719423.521356198),0.0,0.0,,,2.2369385e-07,0.0,1.9229906e-14,4.889563e-20,11.174928
0,POINT (531478.6019668657 718796.8783515441),0.0,0.0,,,1.911995e-07,0.0,1.1961399e-12,1.0041464e-38,15.632643
0,POINT (527300.9819358399 719513.0417854342),0.0,0.0,,,3.4623966e-07,0.0,8.638393e-12,1.1453382e-19,13.265071
0,POINT (564034.198065788 715902.3844729048),1.0,7.0,0.021325307,444.2405641327265,0.2373328,5.0,9.8415796e-08,3.4360613e-07,4.7682214
0,POINT (534015.01412856 712858.6898788718),4.0,7.0,0.0025309152,433.4480705116316,2.0671005,2.0,2.6085112e-07,4.415013e-06,-4.4900517
0,POINT (534790.8578486076 706830.9809769631),0.0,0.0,,,1.9239646e-07,0.0,3.7915564e-13,6.9781944e-33,14.471262
0,POINT (552754.6239820184 721661.5320871047),0.0,0.0,,,1.924475e-07,0.0,1.6208182e-11,7.280582e-33,18.22606
0,POINT (515693.166278204 709576.2741402086),4.0,2.0,0.21007256,476.23197766739804,0.9941407,9.0,8.5752e-08,8.520364e-07,-3.9940953
0,POINT (539714.4814566022 713962.7751727857),2.0,7.0,-0.020542677,433.4480705116316,1.1882708,4.0,8.337073e-07,2.422512e-06,-2.4612238
0,POINT (572747.5198447846 712649.8088773205),0.0,0.0,,,1.911995e-07,0.0,8.191712e-13,7.947107e-39,15.253398
0,POINT (564929.4023581507 713485.3328835256),7.0,3.0,0.118358515,444.2405641327265,2.8480315,4.0,6.015056e-07,1.637686e-05,-4.4629498
0,POINT (548397.9630925201 706472.899260018),0.0,0.0,,,3.8884036e-07,0.0,5.6771692e-14,1.6766148e-19,11.0839405
0,POINT (515752.84656436153 709576.2741402086),3.0,7.0,0.15941855,476.23197766739804,1.2523293,9.0,4.5858272e-07,2.3904418e-06,-2.8962302
0,POINT (570837.7506877442 713545.0131696832),3.0,7.0,0.049683686,566.2173215223089,0.49470145,3.0,1.16228975e-07,8.2735824e-07,3.221338
0,POINT (572299.9176986034 721422.8109424746),0.0,0.0,,,2.2016764e-07,0.0,5.087456e-12,1.641789e-20,16.751574
