label,DEM,LULC,NDVI,RAIN,SLOPE,SOIL,SPI,TOTAL_CURVATURE,TWI
0,0.0,7.0,-0.022910291,433.4480705116316,1.8074815e-07,6.0,4.2900135e-11,5.0137937e-21,16.90626
0,7.0,7.0,0.026726173,444.2405641327265,2.3691578,3.0,2.7198558e-07,4.0103655e-06,-4.7508473
0,4.0,7.0,0.039313763,476.2319776673981,3.289127e-07,3.0,8.236982e-12,1.21275e-19,13.451485
0,6.0,7.0,0.06828356,444.2405641327265,1.2288435,3.0,1.00879134e-07,1.7635709e-06,-4.275581
0,2.0,7.0,0.10886607,530.6180250214139,3.1499443,5.0,8.6367726e-07,9.266241e-06,-4.218145
0,4.0,7.0,-0.0014231254,476.2319776673981,1.0714967,9.0,5.82318e-07,1.0649485e-06,-2.7833548
0,2.0,7.0,0.01813881,433.4480705116316,0.82420313,2.0,3.504336e-07,1.0774968e-06,-0.84380996
0,4.0,7.0,0.046868306,268.19474382028346,2.1698956e-07,3.0,7.941412e-13,1.140654e-20,14.339337
0,12.0,2.0,0.17241432,476.2319776673981,1.8981931,4.0,1.5582789e-07,3.149862e-06,-4.778197
0,6.0,7.0,-0.008707107,433.4480705116316,2.2780056,2.0,4.1423425e-07,1.7383146e-06,-4.30801
1,-4.0,7.0,-0.01682219,433.4480705116316,1.801096e-07,6.0,4.314527e-11,1.0517414e-20,17.04039
0,7.0,7.0,0.07295201,444.2405641327265,1.5990441,4.0,1.69581e-07,2.7172687e-06,-4.4083014
0,5.0,7.0,-0.002859831,488.8305433260899,2.7649987,5.0,4.5159805e-07,9.791554e-06,-4.948669
0,3.0,7.0,-0.0021569254,444.2405641327265,0.551756,4.0,1.4127978e-06,1.0224277e-06,-0.7737642
0,5.0,7.0,0.039532416,273.7553572065135,1.7157862,4.0,1.4383966e-07,2.4970022e-06,-4.5184207
1,0.0,1.0,-0.0354441,530.6180250214139,0.7079948,0.0,4.924844e-07,4.2386705e-06,11.9900875
0,6.0,7.0,0.04712627,444.2405641327265,1.1027979e-07,3.0,1.2163264e-14,2.4937248e-20,12.239925
0,5.0,7.0,0.059345137,476.2319776673981,2.2155368,2.0,9.136874e-07,3.5505311e-06,-3.1317165
0,1.0,7.0,-0.028847057,433.4480705116316,0.03440552,2.0,9.270403e-09,3.903446e-08,14.610148
0,10.0,7.0,-0.03332218,433.4480705116316,12.202226,7.0,9.28881e-06,0.00012493343,-4.7310305
0,3.0,7.0,0.039774325,513.8948750433295,2.2265143,3.0,1.203959e-06,2.2246988e-06,-3.0113208
0,4.0,7.0,-0.023278581,433.4480705116316,0.7346156,9.0,2.6351708e-07,6.8442813e-07,-2.5840147
1,1.0,8.0,0.13380937,433.4480705116316,0.61201364,5.0,2.5261014e-07,1.2494983e-06,-2.7023504
0,4.0,7.0,-0.01907325,433.4480705116316,2.5045767,6.0,6.0358985e-07,8.8746305e-07,-4.293182
0,6.0,8.0,0.11469318,476.2319776673981,1.3925264,8.0,1.1431632e-07,1.0129839e-05,-4.383141
1,-2.0,7.0,0.009160733,433.4480705116316,2.5882642e-07,2.0,4.1936565e-11,1.2487324500000001e-20,11.891279
0,4.0,7.0,-0.029640893,440.292330995459,1.3971375,4.0,2.6752969e-07,2.7781105e-06,-4.0737214
0,11.0,7.0,0.114641584,530.6180250214139,3.4897404,0.0,5.6993605e-07,6.385192e-06,-4.8400617
0,6.0,7.0,0.101158515,515.7875750726147,1.0475352,4.0,8.809582e-07,2.631678e-06,1.7744349
0,3.0,2.0,0.1954922,530.6180250214139,1.0221257,7.0,3.2477905e-07,5.5152367e-07,-3.188995
0,7.0,7.0,0.09933363,566.2173215223089,1.156698,4.0,3.2792025e-07,3.5182409e-06,-3.0118837
1,0.0,7.0,0.034245696,444.2405641327265,0.30020007,7.0,1.3747348e-07,3.4414083e-07,6.037232
0,8.0,7.0,0.054279227,350.62545152506226,3.0607889,3.0,2.5126863e-07,9.210723e-06,-5.2710924
0,5.0,2.0,0.18985423,530.6180250214139,1.7119519,10.0,1.8593292e-07,4.059182e-06,-4.5641775
0,4.0,7.0,0.022137588,530.6180250214139,1.2618701,13.0,1.659025e-07,1.9191768e-06,-3.7382135
0,7.0,7.0,0.031271666,476.2319776673981,0.08872488,3.0,7.283669e-09,1.0168904e-07,8.825132
0,9.0,7.0,-0.0120888995,433.4480705116316,7.8749433,2.0,1.0053716e-06,2.061043e-05,-5.8880124
0,6.0,7.0,-0.022193078,433.4480705116316,1.8982271,5.0,2.5099695e-07,1.1492168e-05,-4.3817673
0,1.0,4.0,0.053419627,389.9206706472762,0.5516964,3.0,6.867245e-08,2.9300184e-06,-3.2943785
0,5.0,7.0,0.008154038,530.6180250214139,1.3662267,4.0,1.12157295e-07,3.1425323e-06,-4.45704
0,2.0,7.0,0.021623956,433.4480705116316,0.7958226,3.0,3.064506e-07,3.4739764e-06,-2.0152407
0,7.0,7.0,0.0054513435,566.2173215223089,2.1811228,2.0,1.4517681e-06,6.6867196e-06,-3.524311
0,4.0,7.0,0.011189095,350.62545152506226,1.0436989,4.0,1.939608e-07,2.7047759e-06,-3.813168
0,3.0,5.0,0.14187601,530.6180250214139,3.8617807e-07,4.0,5.696309e-14,1.7630097999999998e-19,10.947709
0,6.0,7.0,0.085032806,530.6180250214139,1.9523178,3.0,7.1707166e-07,2.410242e-06,-3.2258577
0,6.0,7.0,0.06733802,444.2405641327265,1.742944,4.0,3.7062574e-07,3.746354e-06,-3.1362174
0,6.0,7.0,0.03485264,268.19474382028346,3.2476187,3.0,0.00031135918,4.1788608e-06,-3.1415906
